Field,row,NUMBERI,REDSHIFT,LSIGMA_COR,E_LSIGMA,CN3883_COR,E_CN3883,D4000_COR,E_D4000,LC4668_COR,E_LC4668,LMGB_COR,E_LMGB,row,NUMBERI,EWOII,E_EWOII,lHzetaA_cor,e_lHzetaA,lHdgA_cor,e_lHdgA,LFE4383_COR,E_LFE4383,LHBETAEM_COR,E_LHBETAEM,LFE_COR,E_LFE
MS0451p6m0305,1,220,0.8259,2.248,0.042,0.103,0.005,1.558,0.003,,,,,1,220,5.9,0.6,0.503,0.016,0.054,0.004,0.239,0.087,,,,
MS0451p6m0305,2,234,0.3554,2.182,0.055,,,,,,0.073,0.236,0.027,2,234,,,1.011,0.434,0.020,0.003,0.288,0.086,,0.004,0.018,0.039
MS0451p6m0305,3,323,0.5891,2.287,0.036,0.263,0.005,2.132,0.003,0.885,0.008,0.656,0.006,3,323,,,0.313,0.024,-0.051,0.002,0.666,0.011,0.411,0.006,0.416,0.012
MS0451p6m0305,4,386,0.8849,2.230,0.057,0.191,0.017,2.012,0.012,,,,,4,386,,,0.200,0.141,,,,,,,,
MS0451p6m0305,5,468,1.1792,2.210,0.048,0.061,0.008,,,,,,,5,468,12.3,1.2,0.567,0.023,,,,,,,,
MS0451p6m0305,6,606,0.5684,2.124,0.048,0.130,0.007,1.894,0.004,0.813,0.017,0.504,0.015,6,606,,,0.222,0.047,-0.038,0.003,0.528,0.026,0.512,0.007,0.417,0.019
MS0451p6m0305,7,833,0.9496,2.205,0.075,0.259,0.015,1.995,0.010,,,,,7,833,,,0.271,0.085,,,0.515,0.099,,,,
MS0451p6m0305,8,836,0.3676,2.144,0.060,,,,,0.333,0.090,-0.155,0.102,8,836,,,0.188,0.096,0.022,0.005,0.267,0.079,,0.006,-0.128,0.115
MS0451p6m0305,9,901,1.0656,2.454,0.022,0.051,0.002,1.681,0.002,,,,,9,901,13.2,0.2,0.767,0.004,,,,,,,,
MS0451p6m0305,10,1584,0.9546,2.331,0.118,0.212,0.017,2.072,0.012,,,,,10,1584,,,0.383,0.079,,,1.065,0.025,,,,
MS0451p6m0305,11,2032,0.5114,2.186,0.043,,,1.098,0.002,0.377,0.038,-0.102,0.091,11,2032,59.5,0.9,0.157,0.029,-0.085,0.002,-0.305,0.106,,0.002,-1.251,1.225
MS0451p6m0305,12,2230,0.9199,2.059,0.088,0.155,0.011,2.118,0.008,,,,,12,2230,,,0.334,0.053,,,,,,,,
MS0451p6m0305,13,2257,0,,,,,,,,,,,13,2257,,,,,,,,,,,,
MS0451p6m0305,14,2491,0.9192,2.158,0.071,0.124,0.007,1.840,0.004,,,,,14,2491,11.9,1.5,0.430,0.025,0.001,0.004,,,,,,
MS0451p6m0305,15,2561,1.0493,2.124,0.154,,,1.648,0.008,,,,,15,2561,,,,-0.116,,,,,,,,
MS0451p6m0305,16,2657,0.5787,2.119,0.044,0.112,0.008,1.498,0.004,0.621,0.038,0.323,0.034,16,2657,,,0.585,0.020,0.043,0.004,0.531,0.039,0.139,0.029,,
MS0451p6m0305,17,2748,0,,,,,,,,,,,17,2748,,,,,,,,,,,,
MS0451p6m0305,18,3005,0.9193,2.247,0.050,0.217,0.007,2.205,0.006,,,,,18,3005,,,0.094,0.070,-0.075,0.004,,,,,,
MS0451p6m0305,19,3521,0.4912,2.061,0.062,,,,,0.726,0.021,0.470,0.020,19,3521,,,1.001,0.434,,,0.335,0.048,0.066,0.027,0.373,0.026
MS0451p6m0305,20,3610,0.5663,2.122,0.141,,,1.185,0.004,,0.429,0.507,0.036,20,3610,53.1,7.9,0.156,0.063,0.012,0.005,0.008,0.132,,0.007,,
MS0451p6m0305,21,3625,0.9489,2.379,0.064,0.290,0.009,2.232,0.007,,,,,21,3625,,,0.165,0.070,,,0.580,0.041,,,,
MS0451p6m0305,22,3635,0.7668,2.097,0.063,0.085,0.019,2.009,0.014,,,,,22,3635,,,,-0.432,,,,,0.220,0.069,,
MS0451p6m0305,23,3663,0,,,,,,,,,,,23,3663,,,,,,,,,,,,
MS0451p6m0305,24,3697,0.5674,2.072,0.141,,,1.455,0.007,0.258,0.205,0.370,0.067,24,3697,36.0,5.8,0.494,0.043,0.071,0.007,0.394,0.104,,,,
MS0451p6m0305,25,3792,0.8996,2.407,0.105,,,1.551,0.007,,,,,25,3792,19.7,0.8,0.269,0.077,,,,,,,,
MS0451p6m0305,26,3906,1.2846,,,,,,,,,,,26,3906,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXJ052p7m1357,1,103,0.6406,1.934,0.053,,,,,-0.329,0.402,0.397,0.039,1,103,,,1.004,0.434,,,0.454,0.049,0.308,0.027,0.383,0.073
RXJ052p7m1357,2,155,0.9955,1.446,0.109,0.085,0.011,1.831,0.007,,0.038,0.409,0.703,2,155,5.6,0.7,0.600,0.030,0.106,0.006,,0.071,,0.037,,0.168
RXJ052p7m1357,3,193,0.4562,1.844,0.033,0.052,0.015,1.775,0.008,0.517,0.050,0.547,0.020,3,193,7.5,1.8,0.563,0.036,-0.009,0.005,0.708,0.029,0.111,0.028,0.292,0.072
RXJ052p7m1357,4,264,0.5341,2.035,0.070,0.127,0.021,1.879,0.012,0.861,0.028,0.650,0.029,4,264,11.4,3.2,0.315,0.107,-0.051,0.007,-0.085,0.249,0.254,0.030,0.431,0.058
RXJ052p7m1357,5,460,0.8649,2.268,0.032,0.173,0.004,1.923,0.002,0.742,0.020,0.594,0.025,5,460,,,0.322,0.020,-0.010,0.002,0.444,0.023,0.416,0.009,0.231,0.181
RXJ052p7m1357,6,1245,0.7875,1.679,0.093,0.056,0.009,1.484,0.005,-0.134,0.491,,0.429,6,1245,9.4,1.0,0.581,0.023,0.088,0.006,0.408,0.104,,0.041,0.833,0.068
RXJ052p7m1357,7,1494,0.2374,1.930,0.018,,,,,,,0.540,0.003,7,1494,,,1.001,0.434,,,,,,,0.425,0.007
RXJ052p7m1357,8,1838,0.745,1.980,0.065,0.034,0.000,1.215,0.003,0.749,0.044,,0.086,8,1838,,,0.563,0.015,0.100,0.004,,0.491,,0.029,0.840,0.048
RXJ052p7m1357,9,1896,0.981,1.847,0.039,0.165,0.010,2.216,0.008,,0.113,0.851,0.276,9,1896,,,0.178,0.078,0.016,0.005,0.698,0.038,0.514,0.035,,0.163
RXJ052p7m1357,10,1970,0.3775,1.960,0.067,,,,,0.084,0.205,0.263,0.045,10,1970,,,0.545,0.052,0.155,0.008,0.066,0.204,,0.015,0.234,0.108
RXJ052p7m1357,11,2042,0.2362,2.033,0.088,,,,,,,-0.296,0.227,11,2042,,,1.003,0.434,,,,,,0.410,0.542,0.047
RXJ052p7m1357,12,2087,0.332,2.080,0.039,,,,,,,,,12,2087,,,1.008,0.434,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXJ1226p9p3332,1,18,0.7557,2.217,0.029,0.211,0.009,2.075,0.006,,,,,1,18,4.9,0.8,,,-0.026,0.004,0.512,0.053,,,,
RXJ1226p9p3332,2,53,1.236,,,,,,,,,,,2,53,13.0,1.8,,,,,,,,,,
RXJ1226p9p3332,3,91,0.9744,2.223,0.127,,,1.496,0.007,,,,,3,91,78.8,18.0,0.364,0.060,,,,,,,,
RXJ1226p9p3332,4,132,0.6793,2.198,0.049,,,,,0.875,0.013,0.605,0.011,4,132,,,1.007,0.434,,,0.510,0.022,0.309,0.008,0.380,0.041
RXJ1226p9p3332,5,138,0.7136,2.127,0.034,0.172,0.006,1.958,0.004,0.690,0.032,,,5,138,2.1,0.2,,,-0.012,0.003,0.715,0.020,0.486,0.014,,
RXJ1226p9p3332,6,153,1.975,,,,,,,,,,,6,153,,,,,,,,,,,,
